"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","95","96","97","98","99","100"
"1",68664,3544,2417,4405,9379,21793,2287,2998,5544,15792,11186,2660,5146,22257,2246,1891,2342,6301,1891,8568,5427,3426,2767,5346,2411,2054,1737,2031,2215,2651,1943,4733,2723,2379,2200,2105,3405,6305,2955,2070,2302,4781,3301,3195,2941,4921,2306,2143,4957,3103,1910,1639,1890,2846,2194,2425,2937,2249,1422,2864,2825,10311,1651,2705,15125,1232,993,2041,22110,2123,2058,1397,1878,1737,2676,2017,5675,2233,4819,2529,2120,1887,1239,1395,7842,3830,3021,4007,1652,5626,1048,2833,2877,2167,2487,4576,1656,3070,3713
"2",3544,232934,3095,4626,2926,2096,2248,4185,4706,1635,5065,2210,3494,1505,3038,2108,2934,2338,4911,3100,4443,3197,3007,1606,2801,1251,3238,2450,3362,1668,4624,4824,10217,6503,4789,2950,1855,1978,2566,2698,3431,8503,2891,2435,3718,1118,7332,3216,2017,2496,10237,2744,15904,2454,7431,4329,2163,83147,2028,2702,1625,1148,1773,3465,7007,3110,1314,2055,1697,1563,1868,1242,1876,1647,1323,6078,3291,2839,4838,2460,2177,1486,2773,3410,2787,1217,5519,7767,2252,8865,1958,2860,2653,4217,61356,7334,85568,1903,3113
"3",2417,3095,158908,2073,2127,1809,3161,12750,2852,1659,2759,1924,2093,1684,9020,10048,2512,1662,2708,2113,2202,1476,1899,1739,2245,1760,2581,2795,2662,1808,1952,20919,1947,1877,2107,1811,1827,1839,2714,2211,3021,5488,2748,1695,9507,1386,3397,1778,1903,1429,2743,2666,3194,1466,5350,3640,1412,1828,1349,3942,1668,1742,1220,9824,2940,1278,10549,1292,1399,3643,1266,930,1982,1573,1220,2149,1821,99744,2422,2050,4676,1019,1753,1900,1718,1434,4029,5138,1521,4740,1758,3166,1261,3327,2111,4571,2195,2525,2211
"4",4405,4626,2073,158830,6304,5163,1318,2759,1958,5307,6691,1313,4978,4750,2700,2439,1767,2948,3519,3152,1685,1741,1739,3378,1937,1670,2019,1347,1990,1574,2718,3771,4674,3530,3036,2184,7331,3393,2027,2065,2211,2967,1701,28583,3368,3027,3463,2205,4288,1465,3202,1848,6466,1629,2514,2004,1594,4274,2108,1553,5037,3639,1597,3372,4187,2740,1467,1547,4721,5435,1766,1425,1487,1373,4755,2304,5220,1912,2044,1459,2995,1458,1745,1804,2916,2815,2550,2754,2170,7789,1423,6213,1625,3832,4465,3511,4997,9494,1696
"5",9379,2926,2127,6304,188708,13867,1590,2662,3000,19783,8130,1656,5932,8696,2591,2594,2124,7738,1722,8449,2908,3406,2250,6874,2421,1918,2300,1352,2339,1962,2189,4857,3064,2786,2102,2238,4650,7433,3731,2651,2484,3355,2925,5427,3364,5147,2472,2512,9206,2155,1875,3908,2003,2492,2134,1997,2150,2655,1737,1968,4357,5977,2040,3212,14425,3066,1183,2172,10191,2837,2302,1989,1966,1628,4394,2027,6228,2241,4283,1720,2392,2287,1620,1582,8397,4874,2606,3023,2056,6674,1401,4742,3159,2470,3646,3935,1996,3625,2604
"6",21793,2096,1809,5163,13867,167422,1174,2251,2189,27102,7471,1381,5039,18642,2091,1585,1537,7864,1005,7579,2305,2199,1402,5573,1861,1222,1341,853,1765,1390,1383,3911,2065,1810,1294,1381,4676,6536,2576,1719,1591,2152,1968,3266,3646,4756,1720,1746,5924,1539,1228,1217,1170,1669,1037,1878,1803,2142,1018,1044,3073,6315,1117,3216,12457,1074,790,1348,11068,1672,1483,1143,1140,1336,3336,1265,4839,2230,2895,1113,1729,1263,1145,1032,7839,3938,1853,1792,1092,4737,848,3496,2027,1552,2018,3126,1420,2525,2047
"7",2287,2248,3161,1318,1590,1174,242363,2294,6441,992,3410,4555,1429,938,1575,1498,73296,1079,1427,1579,5238,2600,2801,845,26437,2747,15033,5145,15196,3856,1551,3218,1249,1464,1664,1622,1162,1178,2844,2712,3645,7454,3080,973,1829,574,1376,6010,1316,3557,1994,8191,1493,3372,2282,5259,4544,1393,1353,2814,939,596,2230,1927,3357,854,1035,2256,1023,1329,1787,1579,1811,2638,735,1621,1450,2513,4829,3872,1045,2700,17381,3627,1587,620,5234,7229,1930,2957,8118,2120,2731,1351,1697,3300,971,1163,6612
"8",2998,4185,12750,2759,2662,2251,2294,235492,2947,1928,3261,1788,2806,1988,62777,8541,2629,1998,3026,2502,2606,1801,2189,2019,2447,1610,2826,2089,2958,1740,2488,21059,2933,2504,2344,1811,2091,2092,2961,2851,3711,7271,2870,2069,85368,1678,5505,2249,2002,1590,3521,3019,4690,1841,9929,4069,1522,2498,1597,3940,1975,1762,1342,75352,4016,1492,5546,1408,1803,5921,1425,1068,2138,1571,1512,2550,2490,10988,2892,1978,12538,1108,1708,2209,1942,1628,4951,6514,1827,6851,1935,3818,1564,6356,2599,6787,2593,3673,2463
"9",5544,4706,2852,1958,3000,2189,6441,2947,343401,1381,2907,102953,4097,1342,1857,1586,10137,2851,3101,4797,109559,7821,11312,1750,8076,23399,5316,84951,8055,41243,3426,5224,3819,2771,3785,4320,1650,2407,4660,6563,8197,11485,6448,1627,2438,845,2523,3788,2505,28256,2702,4278,2787,16298,3223,6699,22554,1982,7253,8225,1633,895,8629,2201,12631,1481,702,11683,1695,1320,6245,3989,6303,17616,1342,3275,4362,2509,13666,30736,1646,5641,3344,1861,4027,996,6674,11718,7610,6020,4301,2041,7647,2190,2362,5315,1384,1694,33491
"10",15792,1635,1659,5307,19783,27102,992,1928,1381,192000,9753,1044,3084,49362,2111,1923,1371,3675,1185,4464,1128,984,960,4720,1398,936,1246,970,1383,886,1190,2282,1489,1263,1207,1050,3590,4406,1338,1258,1308,1980,1204,3535,2463,5352,1287,1460,4057,1013,1278,1431,1243,939,1511,1582,1010,1417,823,1347,3279,8417,883,2423,5300,989,1216,930,9264,2419,942,809,973,884,2944,1036,3402,1648,1202,930,1947,855,1118,958,3738,4356,1790,1836,954,2981,980,3504,895,1690,1766,2197,1460,2885,1153
"11",11186,5065,2759,6691,8130,7471,3410,3261,2907,9753,276902,2121,4781,12860,2990,2830,2931,4277,4457,6538,2135,1575,2237,7183,2760,2060,2953,2285,3149,2107,2689,3510,3535,3103,3966,2654,9003,6378,2325,2244,2643,4632,2134,5138,3237,6195,3427,2891,18082,1774,3205,2570,4831,1626,4295,2861,2080,3128,2945,2790,5495,8070,1620,3348,5944,2678,1417,1650,7566,3790,1739,1332,2038,1659,3938,2745,5455,2493,2074,2128,3221,1447,2352,2205,4872,6667,3603,4411,2640,5921,1963,5292,1554,3810,3429,3689,3913,5604,2300
