cik,list_broad_quantity_E,list_commodity_E,list_competition_E,list_consumer_E,list_elections_P,list_exchange_rate_E,list_financial_crisis_E,list_govt_enterprises_P,list_govt_spending_P,list_healthcare_E,list_inflation_E,list_interest_rates_E,list_invest_sentiment_E,list_ip_E,list_labor_disputes_E,list_labor_markets_E,list_litigation_E,list_monetary_P,list_other_financial_E,list_policy_agri_P,list_policy_food_P,list_policy_trade_P,list_real_estate_E,list_reg_energy_p,list_reg_finance_P,list_reg_generic_P,list_reg_housing_P,list_reg_immigration_P,list_reg_ip_P,list_reg_labor_P,list_reg_lawsuit_P,list_reg_other_P,list_security_P,list_taxes_P,list_trade_E,list_transport_P,list_welfare_P,sentences
91388,0,22,2,6,0,0,0,0,0,0,2,4,0,0,2,6,18,0,0,2,0,6,0,0,0,32,0,2,0,0,0,0,0,6,0,0,0,416.0
91419,0,53,0,5,0,0,0,0,0,0,0,15,0,42,10,2,25,0,0,0,0,9,0,5,10,92,0,0,0,5,0,0,5,10,0,0,0,1139.0
91440,0,57,0,5,12,13,0,0,5,2,6,50,0,28,0,10,29,0,0,0,0,7,2,0,0,60,0,0,0,5,0,0,12,36,0,0,0,1008.0
91576,20,15,1,0,0,0,4,0,0,3,4,35,4,0,0,21,23,31,0,0,0,0,44,0,44,151,0,0,0,0,0,0,8,13,0,0,0,1121.0
91668,0,22,0,0,0,0,0,0,0,0,2,0,0,12,0,3,6,0,0,0,0,0,0,0,8,28,0,0,0,0,0,0,8,2,0,0,0,412.0
91767,0,5,0,0,0,5,0,0,0,0,0,0,1,11,1,2,3,0,0,0,0,2,1,0,2,14,0,0,0,0,0,0,1,16,0,0,0,203.0
91882,0,100,8,4,0,0,0,0,4,0,0,15,0,0,4,17,38,0,0,0,0,0,0,46,31,203,0,0,0,0,2,0,2,34,0,8,0,1118.0
91928,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,59.0
92116,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,5,159,0,0,0,9,0,0,5,51,0,0,0,1617.0
92230,3,16,0,5,9,0,0,0,6,0,0,67,0,0,0,5,59,12,7,0,0,8,39,0,109,205,4,0,0,0,0,0,2,28,0,0,0,1288.0
92380,5,16,10,0,0,5,0,0,13,0,0,0,0,0,1,23,26,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,26,11,0,22,0,877.0
92416,0,21,0,0,0,0,0,0,0,0,2,14,0,1,2,7,3,0,0,0,0,0,0,2,0,40,0,0,0,0,0,0,7,6,0,0,0,255.0
92521,0,133,3,0,0,0,0,0,0,0,5,34,0,0,0,12,15,0,0,0,0,1,0,40,13,187,0,0,0,3,1,0,10,29,0,0,0,1351.0
92679,4,18,5,4,0,12,0,0,4,0,4,5,0,39,0,9,24,0,0,0,4,5,0,8,28,69,0,0,0,0,0,0,5,4,0,4,0,952.0
93205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29.0
93314,2,8,0,2,3,0,0,0,0,47,0,0,0,62,0,11,21,0,0,0,28,0,0,0,7,66,0,0,0,0,0,0,0,0,0,0,0,915.0
93389,2,10,0,0,0,5,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,10,0,0,30,40,0,0,0,0,0,0,5,5,0,5,0,930.0
93410,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,0,24,0,0,0,0,0,0,5,0,74,0,0,0,0,0,0,5,15,0,0,0,340.0
93556,5,13,0,0,4,10,0,0,1,0,0,5,5,25,6,5,36,0,0,0,0,26,0,0,7,74,0,0,0,5,0,5,10,85,0,0,0,1275.0
93676,2,10,0,0,0,0,0,0,0,0,2,10,0,0,0,0,10,0,0,0,0,10,0,0,5,55,0,0,0,5,0,0,5,30,0,0,0,371.0
93751,13,61,4,0,2,14,31,0,18,0,1,109,0,40,0,18,77,133,21,0,0,2,13,0,222,663,0,0,0,8,0,0,21,74,0,0,0,3451.0
93859,3,12,6,12,0,0,0,0,0,3,6,3,0,18,0,15,12,0,0,0,0,0,0,0,6,57,0,0,0,3,0,0,3,3,0,0,0,537.0
94049,5,27,2,0,0,30,0,0,0,0,9,3,0,37,10,0,27,0,0,0,0,4,0,14,8,133,0,0,0,3,0,0,17,30,0,0,0,960.0
94344,0,3,0,3,0,0,0,0,0,0,0,18,0,0,0,0,15,3,3,0,0,0,31,0,17,56,0,0,0,3,0,0,0,0,0,0,0,397.0
94845,0,47,5,35,6,21,0,0,0,1,0,20,0,44,10,21,15,0,0,0,0,35,4,0,0,100,0,1,0,0,0,0,12,39,0,0,0,1380.0
95029,0,16,3,0,0,0,0,0,0,4,5,3,0,0,0,5,23,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,343.0
95052,2,2,0,10,0,2,0,0,0,0,4,0,0,40,0,4,13,0,0,0,0,2,0,0,7,26,0,0,0,0,0,0,2,32,0,0,0,537.0
95521,2,22,0,22,0,3,0,0,0,41,14,10,0,30,4,12,40,0,0,0,0,4,1,0,5,85,0,0,0,14,0,0,0,13,0,0,3,1022.0
95552,3,41,0,3,0,15,0,0,0,0,0,0,0,3,3,6,8,0,3,0,0,3,0,1,0,39,0,0,0,0,0,0,0,7,0,0,0,516.0
95572,2,2,0,0,0,1,0,0,0,0,0,2,0,14,0,4,7,0,0,0,0,1,0,1,5,23,1,0,1,0,0,0,3,5,0,0,0,248.0
95574,0,31,0,0,0,5,0,0,0,5,0,2,0,30,1,15,0,0,0,0,0,47,1,0,0,47,0,0,0,0,0,5,0,10,0,0,0,652.0
95953,0,176,1,0,0,0,0,0,5,0,0,6,0,30,9,5,15,0,0,0,0,0,0,10,10,38,0,0,0,0,0,0,0,11,0,0,0,1299.0
96021,1,22,0,17,8,13,0,0,0,2,20,19,0,20,10,14,12,1,0,0,0,3,0,0,3,115,0,0,0,5,0,0,0,39,0,0,5,1147.0
96223,4,178,5,0,0,5,1,16,0,4,7,16,0,0,0,7,18,2,7,8,4,4,26,4,25,147,0,0,0,2,0,0,6,71,0,0,0,1156.0
96271,0,119,0,0,0,0,0,0,0,0,0,22,0,0,5,15,24,0,0,0,0,2,0,33,0,100,0,0,0,0,9,0,0,26,0,1,0,967.0
96699,8,6,0,0,0,4,0,0,0,0,4,0,0,37,0,24,14,0,0,0,0,16,0,0,4,38,0,0,4,0,0,0,8,6,0,0,0,629.0
96763,1,4,0,0,0,2,0,0,0,0,0,2,0,7,0,5,1,0,0,0,0,0,0,0,3,13,0,0,1,0,0,0,2,15,0,0,0,325.0
96793,5,0,0,0,0,0,0,0,0,189,0,0,0,0,0,4,12,0,0,3,0,0,3,0,3,33,0,0,0,0,0,0,0,3,0,0,66,657.0
96831,1,3,2,1,0,9,1,0,1,0,0,1,0,1,1,5,11,0,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,3,0,0,0,154.0
96869,2,65,0,10,0,0,0,0,0,0,20,15,0,0,4,6,27,0,0,0,0,0,90,4,20,47,0,0,0,0,0,0,4,18,0,0,0,763.0
96943,4,30,0,0,1,16,0,0,0,145,5,21,0,50,7,27,45,0,0,0,41,1,0,0,5,179,0,0,0,0,0,0,0,62,0,0,20,1818.0
97134,0,24,0,0,0,11,0,0,0,0,3,0,0,7,1,5,11,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,6,0,0,0,297.0
97148,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,3,4,0,0,0,215.0
97196,0,4,0,0,0,0,0,0,0,12,2,19,0,0,0,0,12,0,0,0,0,0,4,0,7,67,0,0,0,0,2,0,5,14,0,0,0,370.0
97210,0,2,0,0,0,1,0,0,0,0,0,0,0,8,0,2,7,0,0,0,0,1,0,0,2,12,0,0,0,0,0,0,3,16,0,0,0,199.0
97216,0,22,1,0,3,15,0,0,10,0,0,30,0,7,20,27,32,0,0,0,0,19,5,0,37,77,0,0,0,8,0,0,5,11,0,0,0,1162.0
97476,0,19,0,0,0,0,0,0,0,0,0,5,0,45,0,5,0,0,5,0,0,7,0,0,5,49,0,0,0,0,0,0,9,63,0,0,0,667.0
97517,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.0
97745,0,23,5,0,0,14,0,0,8,14,2,3,0,40,3,0,11,0,0,0,10,4,0,0,2,65,0,0,0,0,0,0,1,16,0,0,0,588.0
98222,1,122,0,0,0,21,0,0,0,0,3,10,0,0,3,10,3,0,0,0,0,0,0,2,0,86,0,0,0,0,0,0,17,52,0,0,0,844.0
98246,0,22,0,36,4,12,0,0,0,0,12,5,0,18,0,6,5,1,5,0,0,3,5,0,1,45,0,0,0,0,0,0,10,29,0,0,0,866.0
98338,0,0,0,0,0,0,0,0,0,5,5,0,0,10,0,65,10,0,0,0,0,0,0,0,3,19,0,13,0,15,0,0,0,15,0,0,10,793.0
98362,5,11,5,0,1,15,0,0,0,0,0,16,0,1,0,10,1,0,0,0,0,9,0,0,3,76,0,0,0,0,0,0,0,39,0,0,0,671.0
98677,0,2,0,3,3,3,0,0,0,0,0,4,0,0,6,9,4,0,3,0,0,3,0,0,3,6,0,0,0,0,0,0,6,6,0,0,0,178.0
99106,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,21,0,0,0,4,0,0,0,15,0,0,0,586.0
99250,0,236,0,0,0,0,0,0,0,0,10,10,0,0,0,10,16,5,0,0,0,5,0,57,5,165,0,0,0,0,0,0,17,26,0,0,0,1587.0
99302,0,22,0,0,0,10,0,0,0,20,3,4,0,9,0,4,19,0,0,0,14,4,0,0,9,51,0,0,0,0,0,0,0,40,0,0,0,829.0
99359,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,3,2,0,0,0,0,1,0,0,1,21,0,0,0,0,0,0,2,2,0,4,0,223.0
99771,10,14,0,0,0,0,0,9,0,0,4,53,0,0,0,10,22,17,30,0,0,0,87,0,65,107,0,0,0,0,0,0,2,13,0,0,0,1071.0
99780,0,67,0,0,1,15,0,0,10,0,5,25,0,21,15,20,40,0,0,0,0,18,0,2,18,150,0,0,3,5,0,0,0,62,0,4,0,1330.0
100122,0,46,0,16,0,0,0,0,0,0,0,21,0,0,0,0,22,0,0,0,0,0,0,51,5,137,0,0,0,0,0,0,5,61,0,0,0,627.0
100378,0,44,0,1,3,4,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,15,0,0,0,12,0,0,0,0,0,0,1,53,0,0,0,421.0
100493,0,50,0,10,0,10,0,0,0,0,10,25,0,45,5,20,19,0,0,0,0,5,0,5,0,118,0,0,5,0,0,0,0,63,0,0,0,1421.0
100517,4,6,7,3,0,5,0,0,0,0,0,1,0,0,5,13,12,3,3,0,0,0,0,5,4,86,0,0,0,4,0,0,13,30,0,35,0,719.0
100548,8,69,0,0,0,0,0,0,0,0,0,16,0,4,0,0,9,0,0,0,0,0,0,23,0,66,0,0,0,0,0,0,16,4,0,4,0,361.0
100591,7,148,1,0,10,7,0,0,1,0,1,0,0,0,2,30,45,6,0,0,0,5,0,6,5,92,0,0,0,3,1,0,2,74,0,0,0,1859.0
100625,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0
100716,5,5,0,0,0,0,0,0,0,0,15,30,0,0,0,15,33,5,0,0,0,0,0,0,23,115,0,0,0,0,0,0,10,52,0,0,0,1114.0
100726,0,30,0,4,0,16,0,0,4,0,4,0,0,26,4,7,2,0,0,0,0,29,0,0,4,25,0,0,0,0,0,0,0,21,0,0,0,504.0
100790,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,0,0,0,4,2,0,0,27,0,0,0,0,0,0,0,2,0,0,0,126.0
100885,0,30,0,0,0,0,0,0,0,0,5,0,0,0,18,15,25,0,0,0,0,2,0,0,5,75,3,0,0,0,0,0,10,27,0,0,0,470.0
101063,0,3,0,2,0,2,0,0,2,0,1,0,0,7,3,4,2,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,4,0,0,0,170.0
101199,0,10,0,4,0,0,4,0,0,0,8,28,4,0,0,4,12,4,2,0,0,0,0,0,16,90,0,0,0,2,0,0,8,26,0,0,4,859.0
101295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
101382,9,1,6,8,0,0,0,0,0,0,0,38,0,4,0,8,15,5,4,0,0,0,14,0,8,103,0,0,0,0,0,0,4,8,0,0,1,723.0
101462,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,4,0,28,0,0,0,8,0,0,2,14,0,0,0,274.0
101538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,51.0
101594,0,501,7,0,0,0,0,0,0,0,0,5,0,0,2,0,29,0,0,0,0,0,0,111,36,222,6,0,0,6,4,0,0,34,0,0,0,2102.0
101778,4,316,2,0,4,0,0,0,0,0,3,4,0,0,5,0,53,0,0,0,0,0,0,17,19,155,2,0,0,0,0,0,9,75,0,0,0,1363.0
101829,0,14,5,4,0,25,0,0,13,0,0,14,5,40,0,30,33,0,0,0,0,18,9,0,1,109,0,0,0,0,0,0,15,45,0,0,0,1098.0
101830,0,30,11,5,0,0,0,0,0,0,5,5,0,29,0,7,32,0,10,0,0,0,0,0,13,98,0,0,0,0,0,59,10,3,0,0,0,1470.0
101984,7,42,10,5,0,37,0,0,0,1,7,12,0,58,4,45,48,5,0,0,0,42,0,0,46,186,0,0,1,0,0,0,16,88,0,0,0,1928.0
102037,0,5,0,0,0,15,0,0,1,9,0,40,0,0,0,5,3,0,0,0,9,12,0,0,0,62,0,0,0,10,0,0,0,54,0,0,0,789.0
102198,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,7,0,0,0,12,0,0,0,9,13,0,0,2,0,0,0,0,0,0,0,3,368.0
102212,2,3,0,0,0,3,0,3,0,0,3,45,0,0,0,8,6,24,0,0,0,0,43,0,19,89,3,0,0,0,0,0,6,1,0,0,0,692.0
102729,3,57,0,0,0,15,0,0,11,0,3,6,0,6,0,6,3,0,0,2,0,6,3,0,0,18,0,0,0,0,0,0,3,11,0,0,0,542.0
102741,0,2,1,1,0,5,0,0,0,0,1,2,0,2,1,1,4,0,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,5,0,0,0,149.0
102752,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,43,0,0,0,4,0,4,4,0,0,6,4,352.0
103096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,7,0,0,0,172.0
103145,0,51,1,5,0,15,0,0,9,5,1,0,0,88,0,15,51,1,0,0,0,5,5,0,25,75,0,0,0,0,0,0,34,56,0,0,0,1808.0
103379,0,11,0,26,1,9,0,0,0,0,2,6,0,46,3,27,4,0,9,0,0,4,3,0,0,44,0,0,0,0,0,0,7,61,0,0,0,835.0
103595,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,184.0
103682,2,62,1,0,0,0,0,0,0,0,1,2,0,0,8,2,11,0,0,0,0,0,0,25,8,94,0,0,0,0,0,0,8,4,0,0,0,516.0
103730,0,5,6,0,0,15,0,0,0,0,0,25,0,71,15,10,20,0,0,0,0,9,0,0,0,74,0,0,0,0,0,0,11,28,0,0,0,1173.0
103872,0,13,0,0,12,22,0,0,0,3,4,13,0,0,0,62,17,4,0,0,0,3,0,0,4,79,0,0,0,27,0,0,0,25,0,0,0,962.0
104169,1,4,4,4,0,34,0,0,0,22,11,4,0,5,2,32,31,0,4,0,4,13,2,0,4,77,0,0,0,5,0,2,5,43,0,0,6,619.0
104777,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,3,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,3,0,0,0,187.0
104819,0,116,1,0,0,0,0,0,4,0,0,25,0,0,8,4,6,0,4,0,0,10,0,5,15,126,0,0,0,0,0,0,20,41,0,0,0,886.0
104889,0,33,1,0,7,5,0,0,0,21,0,0,0,21,0,22,25,0,0,0,0,0,4,2,0,339,0,0,0,2,2,0,1,31,0,0,9,1408.0
104894,0,30,0,5,0,0,0,0,21,0,5,81,0,0,0,10,1,1,10,0,0,0,158,5,1,120,0,0,0,5,0,0,45,350,0,0,0,2540.0
104897,3,3,0,3,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,140.0
104918,0,142,1,10,0,0,0,0,0,0,0,24,0,0,2,0,20,0,0,0,0,3,0,20,10,101,0,0,0,0,0,1,12,8,0,0,0,1072.0
105016,0,2,0,0,0,5,0,0,2,0,1,2,0,0,0,2,2,0,2,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,170.0
105076,0,1,0,0,0,3,0,0,0,0,1,0,0,8,1,3,3,0,1,0,0,0,0,0,2,3,0,0,0,1,0,0,1,4,0,0,0,141.0
105132,0,45,5,13,5,20,0,0,0,0,5,0,0,53,0,8,10,0,0,0,0,7,0,3,14,144,0,0,5,5,0,3,0,88,0,0,0,1241.0
105319,0,7,9,9,0,15,0,0,0,11,3,13,0,35,0,11,15,0,0,0,3,3,0,0,0,57,0,0,0,2,0,0,3,14,0,0,0,706.0
105418,0,10,0,5,0,0,0,0,0,0,10,15,0,0,0,20,10,0,0,0,0,0,0,0,2,30,0,0,0,17,0,0,0,15,0,0,0,353.0
105608,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,163.0
105634,0,35,0,0,0,11,0,0,12,2,0,8,0,4,10,24,21,0,0,0,0,1,0,0,2,48,0,0,0,10,0,0,2,9,0,0,0,1067.0
105744,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
105770,4,24,0,0,0,20,0,0,0,51,0,4,0,41,4,12,12,0,0,0,20,4,0,0,4,92,0,0,0,0,0,0,4,10,0,0,3,753.0
106040,0,92,7,9,2,36,0,0,3,0,3,17,0,56,11,25,151,1,0,0,0,14,4,0,16,125,0,0,0,0,1,0,8,113,0,0,0,2934.0
106455,0,691,0,0,0,32,0,0,0,28,4,8,0,0,28,28,28,0,0,0,0,4,0,99,6,301,1,0,0,20,12,0,0,94,0,0,0,2726.0
106618,0,15,0,0,0,0,0,0,0,0,0,2,0,10,0,4,11,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,2,4,0,0,0,353.0
106640,0,25,15,11,0,40,0,0,1,0,14,17,0,79,5,21,45,0,5,0,0,20,5,0,2,84,0,0,5,5,0,0,0,36,0,0,0,1008.0
107140,5,4,0,0,0,6,0,0,0,4,20,12,0,31,0,13,3,0,3,0,0,0,0,0,3,21,0,0,0,0,0,0,4,33,0,0,0,643.0
107263,3,266,1,0,0,8,0,0,0,0,12,30,0,0,0,9,45,5,0,0,0,5,0,27,13,160,0,0,0,0,1,0,17,39,0,0,0,2010.0
107687,4,20,0,17,0,0,0,0,0,0,3,17,0,10,8,19,17,0,0,0,0,5,0,7,10,87,0,0,0,0,0,0,0,11,0,2,0,1077.0
107815,0,118,0,0,0,0,0,0,0,0,0,8,1,0,6,13,16,1,0,0,0,0,0,50,12,156,0,0,0,0,3,0,6,29,0,1,0,809.0
107833,0,106,0,0,0,0,0,0,0,0,0,8,1,0,5,9,14,0,0,0,0,0,0,34,10,138,0,0,0,0,2,0,6,29,0,1,0,682.0
108312,2,46,0,0,13,26,0,0,15,5,5,20,0,57,0,56,15,0,0,0,0,15,0,0,5,114,0,0,0,0,0,0,49,108,0,2,0,2046.0
108385,0,13,0,0,0,0,0,0,2,0,0,42,0,0,0,15,58,8,10,0,0,0,0,0,113,207,0,0,0,0,0,0,11,22,0,0,0,1194.0
108516,3,178,4,4,1,11,4,0,8,7,4,8,0,8,0,12,4,0,0,0,0,26,0,6,0,76,0,0,0,4,0,0,4,57,0,0,0,1179.0
108772,0,22,1,0,6,11,0,0,5,2,5,6,0,30,0,13,14,0,0,0,0,5,0,5,2,111,0,0,0,5,0,0,1,28,0,0,0,983.0
108985,0,24,0,0,0,0,0,0,0,4,0,24,0,0,4,12,4,0,0,0,0,0,4,6,4,49,0,0,0,0,0,0,0,41,0,0,0,617.0
109177,7,162,8,13,18,42,0,0,10,9,0,95,0,147,11,44,150,5,15,3,9,68,14,43,61,457,0,0,5,16,0,5,22,210,0,0,6,5278.0
109198,0,28,0,14,7,44,0,0,0,4,4,4,0,12,9,52,17,0,0,0,0,4,22,4,0,129,0,0,0,6,0,0,10,62,0,0,0,932.0
109380,7,12,0,0,0,0,5,0,0,0,1,42,0,0,0,1,13,7,0,0,0,0,16,0,99,138,0,0,0,0,0,0,0,13,0,0,0,690.0
109563,1,14,0,0,0,15,1,0,0,0,0,6,0,0,5,25,15,2,5,0,0,15,0,0,5,21,0,0,0,0,0,0,0,9,0,0,0,807.0
109657,0,3,0,0,0,0,0,0,0,52,0,1,0,59,0,6,23,0,0,0,35,0,0,0,3,81,0,0,0,0,0,0,1,0,0,0,2,552.0
110019,0,239,0,0,0,0,0,0,0,0,10,10,0,0,0,9,16,5,0,0,0,5,0,57,5,165,0,0,0,0,0,0,16,26,0,0,0,1557.0
110471,2,16,0,20,3,23,1,0,2,0,6,6,0,22,3,18,25,0,3,0,0,14,0,0,0,53,0,0,0,0,0,1,10,34,0,0,0,894.0
110621,7,12,0,1,16,12,0,0,0,0,5,16,0,34,0,5,15,0,0,0,0,0,0,10,46,135,0,0,0,0,0,0,10,44,0,0,0,943.0
200155,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,2,0,13,0,43,0,0,0,0,0,0,1,2,0,1,0,182.0
200406,0,9,3,0,0,9,0,0,0,40,12,0,0,68,3,0,26,0,0,0,10,0,0,0,4,55,0,0,0,0,0,0,3,37,0,0,6,380.0
201461,1,3,0,2,0,0,1,0,0,0,3,9,0,0,0,6,4,7,0,0,0,0,8,0,22,30,0,0,0,0,0,0,0,3,0,0,0,222.0
201533,0,94,0,5,0,0,0,0,0,0,10,5,0,0,5,20,31,4,0,0,0,1,5,65,64,169,0,0,0,0,1,0,10,55,0,0,0,1349.0
201779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10.0
202058,1,16,0,0,7,9,0,0,23,0,10,8,4,48,4,24,25,0,0,0,0,10,2,4,0,79,0,0,0,4,0,1,27,81,0,0,0,1417.0
203077,2,9,0,0,0,8,0,0,5,96,4,0,0,30,0,4,28,2,0,0,18,2,0,0,2,85,0,0,0,0,0,0,6,24,0,0,23,546.0
203527,2,43,20,0,12,46,0,0,2,249,0,0,0,119,15,14,85,0,0,0,93,37,0,5,15,355,0,0,0,0,0,0,12,76,0,0,44,3334.0
203596,0,24,0,0,0,0,0,10,4,0,0,53,0,0,0,11,4,4,8,0,0,0,30,0,86,120,0,0,0,0,0,0,0,26,0,0,0,984.0
205402,0,18,0,0,0,0,0,0,0,0,0,5,5,5,0,10,25,0,0,0,0,0,0,0,4,56,0,0,0,0,0,0,0,5,0,0,0,368.0
215419,2,12,0,6,0,8,0,0,0,0,0,6,0,25,0,8,12,0,0,0,0,0,0,0,2,25,0,0,0,0,0,2,0,18,0,0,0,495.0
215466,0,126,5,0,0,0,0,0,0,0,152,11,0,0,10,9,45,0,0,0,0,3,0,21,8,106,0,0,0,5,0,0,5,36,0,0,0,1505.0
216085,0,16,0,5,0,12,0,0,0,0,0,5,0,0,0,5,15,0,0,0,0,24,5,0,5,18,0,0,0,0,0,0,0,6,0,0,0,446.0
216228,0,41,0,0,0,20,0,0,4,0,5,18,0,14,9,12,24,0,0,0,0,15,0,6,0,106,0,0,0,0,0,0,4,130,0,0,0,1220.0
216539,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,3,5,0,0,0,0,0,0,0,1,12,0,0,0,1,1,46,3,15,0,0,0,358.0
217346,0,5,0,0,1,10,0,0,10,1,2,15,0,40,10,15,20,0,0,0,0,1,0,0,0,122,0,0,0,0,0,5,15,31,0,0,0,918.0
225211,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,136.0
225263,0,16,1,2,0,8,0,0,0,0,2,2,0,46,0,6,16,0,0,0,0,4,0,6,11,53,0,0,8,0,0,0,2,10,0,0,0,762.0
225628,0,3,0,0,0,0,0,0,0,0,0,0,0,51,0,3,5,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,6,6,0,3,0,307.0
225648,0,37,0,0,4,0,0,0,0,0,4,4,0,0,8,4,5,0,0,0,0,3,0,14,0,117,0,0,0,0,0,0,8,31,0,0,0,1209.0
230557,6,23,5,8,2,0,5,0,2,21,7,82,6,5,0,31,33,25,17,0,0,1,5,0,47,153,11,0,0,27,1,0,63,55,0,0,5,2057.0
275053,0,10,52,10,0,29,0,0,0,23,8,0,0,30,0,12,22,0,5,5,23,6,0,5,8,213,0,0,0,0,0,0,6,68,0,0,0,1175.0
275119,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,8,9,4,18,0,0,0,35,0,18,41,0,0,0,0,0,0,6,22,0,0,0,537.0
276077,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,9,32,0,0,0,361.0
276209,0,11,0,3,0,0,0,0,0,0,0,12,0,0,0,4,13,0,0,0,0,0,0,4,0,153,0,0,0,8,0,0,0,42,0,0,0,944.0
276720,0,63,0,4,0,0,0,0,0,0,4,2,0,0,0,14,43,0,2,0,0,4,10,6,2,119,0,0,0,14,1,0,0,18,0,0,0,1226.0
277058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,67,0,0,0,3,0,0,0,7,0,0,0,292.0
277135,0,7,0,0,0,4,0,0,0,0,5,0,0,1,0,4,3,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,177.0
277375,0,113,4,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,8,0,4,10,49,0,0,0,0,0,0,2,15,0,0,0,374.0
277509,0,1,0,0,0,1,0,0,1,0,0,1,0,6,1,1,3,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,6,0,0,0,151.0
277595,0,126,6,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,11,52,0,0,0,0,0,0,1,7,0,0,0,474.0
277638,0,10,0,0,0,16,0,0,0,8,0,0,0,4,0,21,10,0,0,0,0,0,0,0,5,69,0,1,0,10,0,0,0,5,0,0,0,686.0
277905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0,120.0
277948,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,6,0,41,0,0,0,0,0,0,0,6,0,0,0,93.0
